Source Model,Group,count,mean,sem
deepseek,Katalanen,718,10.467145191409896,1.1778620388796492
deepseek,Kurden,717,8.478727144866385,1.2094964139813955
deepseek,Palästinenser,720,11.25,1.2001963853769755
deepseek,Rohingya,719,15.110965829846583,1.7802580536731363
deepseek,Tibeter,711,38.579465541490855,2.644800773968495
deepseek,Uiguren,719,35.30663063691306,2.265916895063965
gemini,Katalanen,720,12.111111111111112,1.3508424831367947
gemini,Kurden,719,9.408530915853092,1.4065470491953915
gemini,Palästinenser,720,11.034722222222221,1.524342583393582
gemini,Rohingya,719,23.76786959553696,2.1020789189753786
gemini,Tibeter,720,16.79861111111111,1.6878675584160678
gemini,Uiguren,719,26.640719432821943,2.183614049602113
gpt,Katalanen,720,8.888888888888888,1.1055470002052887
gpt,Kurden,719,6.454033007903301,0.8946216563928502
gpt,Palästinenser,718,7.438492063492063,1.03778352851951
gpt,Rohingya,718,16.686624649859944,1.7691169898264303
gpt,Tibeter,718,10.4875116713352,1.2419732986864822
gpt,Uiguren,720,26.1875,2.0195080785478816
qwen,Katalanen,719,7.196333100883311,0.9054441505899864
qwen,Kurden,719,9.88177010692701,1.3287605002401952
qwen,Palästinenser,719,9.32511041376104,1.1244171351041
qwen,Rohingya,718,17.638246965452847,1.8691408032971404
qwen,Tibeter,720,13.597222222222223,1.4050207763414913
qwen,Uiguren,710,20.6478104364824,1.7819351974771005
